,W_ac,,
1473,283.672436,,
1474,292.6567718,,
1475,299.8983956,,
1476,317.3344817,,
1477,354.4540608,,
1478,406.3887383,,
1479,463.0524756,,
1480,514.3518221,,
1481,551.7570353,,
1482,575.9186118,,
1483,590.8265557,,
1484,600.4756499,,
1485,608.3332554,,
1486,614.7670655,,
1487,619.0160853,,
1488,620.3176931,,
1489,617.9322417,,
1490,611.2552473,,
1491,599.7314924,,
1492,582.8058313,,
1493,560.304206,,
1494,534.296957,,
1495,507.6733039,,
1496,483.3236632,,
1497,462.811477,,
1498,439.8767775,,
1499,405.4023609,,
1500,350.2668158,,
1501,268.3833534,,
1502,171.5752476,,
1503,78.21329959,,
1504,6.678022739,,
1505,0,,
1506,0,,
1507,0,,
1508,0,,
1509,7.544692341,,
1510,8.627994319,,
1511,5.068267513,,
1512,0,,
1513,0,,
1514,0,,
1515,0,,
1516,0,,
1517,0,,
1518,0,,
1519,0,,
1520,0,,
1521,0,,
1522,0,,
1523,0,,
1524,0,,
1525,0,,
1526,0,,
1527,0,,
1528,0,,
1529,0,,
1530,0,,
1531,0,,
1532,0,,
1533,0,,
1534,0,,
1535,0,,
1536,0,,
1537,0,,
1538,0,,
1539,0,,
1540,0,,
1541,0,,
1542,0,,
1543,0,,
1544,0,,
1545,0,,
1546,0,,
1547,0,,
1548,0,,
1549,0,,
1550,0,,
1551,0,,
1552,0,,
1553,0,,
1554,0,,
1555,0,,
1556,0,,
1557,0,,
1558,0,,
1559,0,,
1560,0,,
1561,5.485267425,,
1562,17.41294919,,
1563,37.64645659,,
1564,68.60189582,,
1565,111.9124444,,
1566,164.5116114,,
1567,221.5873948,,
1568,278.3248981,,
1569,330.4462321,,
1570,376.9004071,,
1571,417.8361261,,
1572,453.404095,,
1573,483.8698805,,
1574,510.1899834,,
1575,533.5780331,,
1576,555.2480913,,
1577,576.1912245,,
1578,596.05567,,
1579,613.9894422,,
1580,629.1397087,,
1581,640.7516958,,
1582,648.6617419,,
1583,652.926601,,
1584,653.6034026,,
1585,650.5550774,,
1586,642.4726514,,
1587,627.6097357,,
1588,604.2191916,,
1589,571.3912478,,
1590,533.2746482,,
1591,495.9080964,,
1592,465.3335596,,
1593,445.612243,,
1594,428.8269249,,
1595,402.58059,,
1596,354.4684353,,
1597,275.5692909,,
1598,178.0512076,,
1599,81.9771507,,
1600,7.423902593,,
1601,0,,
1602,0,,
1603,0,,
1604,0,,
1605,7.819282293,,
1606,9.003084933,,
1607,5.319442794,,
1608,0,,
1609,0,,
1610,0,,
1611,0,,
1612,0,,
1613,0,,
1614,0,,
1615,0,,
1616,0,,
1617,0,,
1618,0,,
1619,0,,
1620,0,,
1621,0,,
1622,0,,
1623,0,,
1624,0,,
1625,0,,
1626,0,,
1627,0,,
1628,0,,
1629,0,,
1630,0,,
1631,0,,
1632,0,,
1633,0,,
1634,0,,
1635,0,,
1636,0,,
1637,0,,
1638,0,,
1639,0,,
1640,0,,
1641,0,,
1642,0,,
1643,0,,
1644,0,,
1645,0,,
1646,0,,
1647,0,,
1648,0,,
1649,0,,
1650,0,,
1651,0,,
1652,0,,
1653,0,,
1654,0,,
1655,0,,
1656,0,,
1657,5.240413457,,
1658,16.25594698,,
1659,34.19934113,,
1660,60.79612471,,
1661,97.31787508,,
1662,142.2409373,,
1663,192.9786018,,
1664,246.9420943,,
1665,301.5056343,,
1666,353.8153328,,
1667,400.9304637,,
1668,439.9101307,,
1669,468.5971207,,
1670,489.6700703,,
1671,507.6503627,,
1672,527.0630063,,
1673,551.5508771,,
1674,579.3077067,,
1675,606.4487331,,
1676,629.0850793,,
1677,643.8859694,,
1678,650.9718204,,
1679,651.7807513,,
1680,647.7535063,,
1681,640.0614906,,
1682,628.2087925,,
1683,611.0622748,,
1684,587.4875227,,
1685,556.9656787,,
1686,522.7924926,,
1687,489.7230399,,
1688,462.5153405,,
1689,444.2267113,,
1690,427.3639964,,
1691,400.393851,,
1692,351.7747277,,
1693,273.2152184,,
1694,176.6079473,,
1695,81.58239963,,
1696,7.783867668,,
1697,0,,
1698,0,,
1699,0,,
1700,0,,
1701,7.669671381,,
1702,8.891684061,,
1703,5.284093712,,
1704,0,,
1705,0,,
1706,0,,
1707,0,,
1708,0,,
1709,0,,
1710,0,,
1711,0,,
1712,0,,
