PVWatts: Hourly PV Performance Data,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,
DC System Size (kW):,10,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.118,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,
,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,
1,13,10,794,93,17,2.1,706.909,35.449,5731.21,5516.052,,
1,13,11,830,103,18,2.6,800.891,37.894,6438.649,6194.763,,
1,13,12,763,135,18,3.1,791.558,36.835,6400.34,6158.057,,
1,13,13,807,116,18,2.6,759.088,37.127,6111.007,5880.657,,
1,13,14,619,135,17,2.6,563.823,31.409,4630.168,4456.021,,
1,13,15,606,104,17,2.1,416.616,28.062,3375.131,3242.233,,
1,13,16,0,0,16,2.1,0,16,0,0,,
1,13,17,0,0,13,2.4,0,13,0,0,,
1,13,18,0,0,13,2.8,0,13,0,0,,
1,13,19,0,0,10,3.1,0,10,0,0,,
1,13,20,0,0,8,1.5,0,8,0,0,,
1,13,21,0,0,8,1.5,0,8,0,0,,
1,13,22,0,0,7,1.5,0,7,0,0,,
1,13,23,0,0,7,1.5,0,7,0,0,,
1,14,0,0,0,6,3.1,0,6,0,0,,
1,14,1,0,0,6,3.1,0,6,0,0,,
1,14,2,0,0,5,2.6,0,5,0,0,,
1,14,3,0,0,4,2.1,0,4,0,0,,
1,14,4,0,0,4,2.1,0,4,0,0,,
1,14,5,0,0,3,2.1,0,3,0,0,,
1,14,6,0,0,4,2.1,0,4,0,0,,
1,14,7,33,19,6,2.1,29.468,4.67,258.989,203.188,,
1,14,8,149,109,7,2.1,189.185,10.24,1691.822,1605.055,,
1,14,9,332,158,11,1.5,386.85,21.057,3341.149,3209.287,,
1,14,10,518,181,14,1.5,601.56,30.826,4997.814,4810.474,,
1,14,11,735,142,16,2.3,773.723,35.755,6289.239,6051.574,,
1,14,12,763,132,16,3.1,789.575,34.787,6449.78,6205.426,,
1,14,13,764,116,16,4.6,728.305,30.901,6046.34,5818.615,,
1,14,14,778,95,16,3.6,624.585,30.168,5151.031,4958.044,,
1,14,15,632,93,14,4.6,420.481,22.345,3495.727,3359.12,,
1,14,16,0,0,13,2.1,0,13,0,0,,
1,14,17,0,0,12,1.5,0,12,0,0,,
1,14,18,0,0,13,1.5,0,13,0,0,,
1,14,19,0,0,12,2.1,0,12,0,0,,
1,14,20,0,0,13,1.8,0,13,0,0,,
1,14,21,0,0,13,1.5,0,13,0,0,,
1,14,22,0,0,12,2.1,0,12,0,0,,
1,14,23,0,0,12,2.1,0,12,0,0,,
1,15,0,0,0,12,2.1,0,12,0,0,,
1,15,1,0,0,11.5,2.1,0,11.5,0,0,,
1,15,2,0,0,11,2.1,0,11,0,0,,
1,15,3,0,0,11,1.9,0,11,0,0,,
1,15,4,0,0,11,1.7,0,11,0,0,,
1,15,5,0,0,11,1.5,0,11,0,0,,
1,15,6,0,0,11,2.6,0,11,0,0,,
1,15,7,169,17,11,2.1,72.297,10.945,570.477,508.593,,
1,15,8,160,111,13,3.1,196.411,16.215,1708.763,1621.584,,
1,15,9,160,186,15,4.1,305.654,20.584,2659.402,2547.406,,
1,15,10,524,187,15,2.1,613.171,30.355,5106.364,4915.032,,
1,15,11,42,241,17,2.1,288.602,24.882,2479.701,2372.654,,
1,15,12,36,266,16,2.1,313.042,23.481,2707.781,2594.432,,
1,15,13,0,87,16,3.6,82.561,17.041,735.901,670.641,,
1,15,14,338,233,16,2.1,487.587,27.397,4105.244,3949.062,,
1,15,15,0,90,16,2.1,88.484,18.144,784.758,718.481,,
1,15,16,0,0,14,2.1,0,14,0,0,,
1,15,17,0,0,13,2.1,0,13,0,0,,
1,15,18,0,0,12,3.1,0,12,0,0,,
1,15,19,0,0,12,1.5,0,12,0,0,,
1,15,20,0,0,11,1.5,0,11,0,0,,
1,15,21,0,0,10,3.1,0,10,0,0,,
1,15,22,0,0,10,2.3,0,10,0,0,,
1,15,23,0,0,11,1.5,0,11,0,0,,
1,16,0,0,0,11,1.5,0,11,0,0,,
1,16,1,0,0,11,1.5,0,11,0,0,,
1,16,2,0,0,11,2.1,0,11,0,0,,
1,16,3,0,0,11,2.1,0,11,0,0,,
1,16,4,0,0,11,2.1,0,11,0,0,,
1,16,5,0,0,10,2.1,0,10,0,0,,
1,16,6,0,0,10,3.1,0,10,0,0,,
1,16,7,247,17,10,2.6,91.657,10.454,706.856,642.195,,
1,16,8,507,80,11,2.6,328.456,17.799,2765.26,2650.293,,
1,16,9,315,169,12,1.5,389.348,22.676,3340.5,3208.657,,
1,16,10,647,140,16,2.1,656.613,32.696,5402.017,5199.592,,
1,16,11,741,129,16,2.6,766.187,35.007,6251.379,6015.278,,
1,16,12,732,145,17,4.6,781.879,32.942,6446.545,6202.328,,
1,16,13,769,114,17,4.1,733.197,32.909,6029.298,5802.262,,
1,16,14,706,111,17,5.1,599.586,28.461,4992.309,4805.171,,
1,16,15,642,91,15,5.7,426.703,22.36,3550.498,3412.189,,
